epoch,AUPRC,AUROC,loss,val_AUPRC,val_AUROC,val_loss
0,0.5888690948486328,0.9387971758842468,0.030026467517018318,0.55687415599823,0.9367196559906006,0.030927615240216255
1,0.7293509244918823,0.9633060097694397,0.02278338558971882,0.41868627071380615,0.9233210682868958,0.03145973011851311
2,0.6410244703292847,0.9527371525764465,0.027096392586827278,0.6126314401626587,0.9450923204421997,0.02922932617366314
3,0.6381670236587524,0.9416137933731079,0.027171647176146507,0.49891191720962524,0.943432629108429,0.028418026864528656
4,0.6669691801071167,0.9578286409378052,0.02584931068122387,0.6255255937576294,0.9496527910232544,0.028437618166208267
5,0.6207130551338196,0.9638918042182922,0.025813251733779907,0.5405876040458679,0.9508187174797058,0.026798132807016373
6,0.6804377436637878,0.9604609608650208,0.02516760304570198,0.6141222715377808,0.9503889679908752,0.028311634436249733
7,0.7189110517501831,0.9685803055763245,0.023894991725683212,0.4958949387073517,0.9462802410125732,0.028511259704828262
8,0.6927486062049866,0.9627084136009216,0.024567680433392525,0.6092268228530884,0.9428990483283997,0.029827380552887917
9,0.6254588961601257,0.9588579535484314,0.02749502658843994,0.5082554221153259,0.9425724744796753,0.028577139601111412
10,0.7050400376319885,0.9649559259414673,0.023941174149513245,0.631320059299469,0.9526083469390869,0.02737255021929741
11,0.6823925971984863,0.9537259936332703,0.024104299023747444,0.5344973206520081,0.9514415860176086,0.025261396542191505
12,0.7110231518745422,0.9662489295005798,0.023596247658133507,0.6490418910980225,0.9507198333740234,0.02743804082274437
13,0.8014888763427734,0.9817804098129272,0.0187535360455513,0.5691503286361694,0.9350677132606506,0.029077019542455673
14,0.7208301424980164,0.9683120250701904,0.02303253673017025,0.6155397295951843,0.9454872608184814,0.02921087108552456
15,0.789779007434845,0.9766920804977417,0.017320111393928528,0.5139496922492981,0.9299359321594238,0.030459756031632423
