epoch,AUPRC,AUROC,loss,val_AUPRC,val_AUROC,val_loss
0,0.16238515079021454,0.4787502884864807,0.029196567833423615,0.2250119000673294,0.5346430540084839,0.024363812059164047
1,0.1981404572725296,0.19166666269302368,0.02200891450047493,0.06666667014360428,0.06666667014360428,0.018664751201868057
2,0.2485194355249405,0.5517303347587585,0.017830228433012962,0.2607048451900482,0.566959023475647,0.021201081573963165
3,0.11022842675447464,0.125,0.022538166493177414,0.06666667014360428,0.06666667014360428,0.006612243130803108
4,0.28088122606277466,0.5733339786529541,0.01537059061229229,0.30224546790122986,0.5861892700195312,0.01716981641948223
5,0.13963565230369568,0.15000000596046448,0.01494037639349699,0.06666667014360428,0.06666667014360428,0.002620639745146036
6,0.3061831295490265,0.5806751847267151,0.013962933793663979,0.32645919919013977,0.5880651473999023,0.01947556808590889
7,0.10000000149011612,0.10000000149011612,0.006099779158830643,0.06666667014360428,0.06666667014360428,0.004045072011649609
8,0.3179495930671692,0.5938224792480469,0.013280490413308144,0.3293289542198181,0.5899839997291565,0.016435304656624794
9,0.10000000149011612,0.10000000149011612,0.003953111357986927,0.06666667014360428,0.06666667014360428,0.0032221325673162937
10,0.33538618683815,0.5973158478736877,0.01236022263765335,0.3397798538208008,0.5927852392196655,0.015485824085772038
11,0.1666666716337204,0.1666666716337204,0.011299269273877144,0.06666667014360428,0.06666667014360428,0.0036956951953470707
12,0.3460441529750824,0.6004496216773987,0.011876985430717468,0.34965506196022034,0.5931117534637451,0.015157892368733883
13,0.20000000298023224,0.20000000298023224,0.027846092358231544,0.06666667014360428,0.06666667014360428,0.006551245227456093
14,0.35397279262542725,0.6007347106933594,0.011559867300093174,0.35119545459747314,0.597269594669342,0.01422969065606594
15,0.10000000149011612,0.10000000149011612,0.004074677359312773,0.06666667014360428,0.06666667014360428,0.0015056920237839222
16,0.3670639097690582,0.6073216795921326,0.01103524025529623,0.3417104184627533,0.5949720740318298,0.015525802038609982
17,0.11022842675447464,0.125,0.019322460517287254,0.06666667014360428,0.06666667014360428,0.0029347483068704605
18,0.3741817772388458,0.6082461476325989,0.01062952633947134,0.35047999024391174,0.5960904359817505,0.01725829765200615
19,0.1666666716337204,0.1666666716337204,0.010872917249798775,0.06666667014360428,0.06666667014360428,0.0030626917723566294
