epoch,AUPRC,AUROC,loss,val_AUPRC,val_AUROC,val_loss
0,0.3503991365432739,0.8498227596282959,0.019069479778409004,0.4008227586746216,0.8418418765068054,0.018885904923081398
1,0.2778117060661316,0.31163322925567627,0.01802774891257286,0.10000000149011612,0.10000000149011612,0.005359338130801916
2,0.39559686183929443,0.8733382821083069,0.0168874803930521,0.42501118779182434,0.8459035754203796,0.017119234427809715
3,0.25076785683631897,0.2861517071723938,0.014705179259181023,0.10000000149011612,0.10000000149011612,0.003386403201147914
4,0.4154244065284729,0.8765374422073364,0.016026237979531288,0.439441055059433,0.8519874811172485,0.016727378591895103
5,0.2993825078010559,0.356600284576416,0.013428488746285439,0.10000000149011612,0.10000000149011612,0.00409840140491724
6,0.43299511075019836,0.8825156092643738,0.015342820435762405,0.44986337423324585,0.8525333404541016,0.015492497943341732
7,0.2849210798740387,0.32047930359840393,0.015683840960264206,0.10000000149011612,0.10000000149011612,0.0023616342805325985
8,0.4514981508255005,0.8870282769203186,0.01470609474927187,0.4539767801761627,0.8562415838241577,0.016100917011499405
9,0.3903263211250305,0.4535955488681793,0.016059162095189095,0.10000000149011612,0.10000000149011612,0.003418420674279332
10,0.46617668867111206,0.8895453214645386,0.01426606997847557,0.45577937364578247,0.8539872765541077,0.016770819202065468
11,0.2537901997566223,0.29649123549461365,0.008236734196543694,0.10000000149011612,0.10000000149011612,0.0025637303479015827
12,0.4793809950351715,0.9000204801559448,0.013804145157337189,0.47189900279045105,0.8522630929946899,0.015451925806701183
13,0.3804759383201599,0.42456144094467163,0.012066306546330452,0.10000000149011612,0.10000000149011612,0.001502803759649396
