indx,fpr,tpr
0,0.0,0.0
1,0.0,2.6674491184080665e-05
2,0.0,0.00021339592947264532
3,1.6191159303197268e-06,0.00021339592947264532
4,1.6191159303197268e-06,0.0007735602443383392
5,6.476463721278907e-06,0.0007735602443383392
6,6.476463721278907e-06,0.0008002347355224199
7,8.095579651598635e-06,0.0008002347355224199
8,8.095579651598635e-06,0.0008269092267065006
9,1.2952927442557815e-05,0.0008269092267065006
10,1.2952927442557815e-05,0.0008535837178905813
11,1.619115930319727e-05,0.0008535837178905813
12,1.619115930319727e-05,0.0009069327002587425
13,1.7810275233516995e-05,0.0009069327002587425
14,1.7810275233516995e-05,0.0009336071914428232
15,1.942939116383672e-05,0.0009336071914428232
16,1.942939116383672e-05,0.0009869561738109845
17,2.104850709415645e-05,0.0009869561738109845
18,2.104850709415645e-05,0.0010136306649950653
19,2.2667623024476175e-05,0.0010136306649950653
20,2.2667623024476175e-05,0.0011470031209154686
21,2.4286738954795904e-05,0.0011470031209154686
22,2.4286738954795904e-05,0.0011736776120995491
23,3.076320267607481e-05,0.0011736776120995491
24,3.076320267607481e-05,0.00120035210328363
25,3.238231860639454e-05,0.00120035210328363
26,3.238231860639454e-05,0.0012270265944677105
27,3.4001434536714264e-05,0.0012270265944677105
28,3.4001434536714264e-05,0.0012537010856517913
29,3.7239666397353715e-05,0.0012537010856517913
30,3.7239666397353715e-05,0.0014137480327562752
31,4.20970141883129e-05,0.0014137480327562752
32,4.20970141883129e-05,0.0014404225239403557
33,4.3716130118632624e-05,0.0014404225239403557
34,4.3716130118632624e-05,0.001493771506308517
35,4.6954361979272075e-05,0.001493771506308517
36,4.6954361979272075e-05,0.001520445997492598
37,4.857347790959181e-05,0.001520445997492598
38,4.857347790959181e-05,0.0016538184534130012
39,5.019259383991153e-05,0.0016538184534130012
40,5.019259383991153e-05,0.0017071674357811626
41,5.181170977023126e-05,0.0017071674357811626
42,5.181170977023126e-05,0.0017338419269652431
43,5.828817349151017e-05,0.0017338419269652431
44,5.828817349151017e-05,0.0017605164181493237
45,5.9907289421829894e-05,0.0017605164181493237
46,5.9907289421829894e-05,0.0017871909093334045
47,6.152640535214963e-05,0.0017871909093334045
48,6.152640535214963e-05,0.001813865400517485
49,6.314552128246934e-05,0.001813865400517485
50,6.314552128246934e-05,0.0019205633652538078
51,6.476463721278908e-05,0.0019205633652538078
52,6.476463721278908e-05,0.0019472378564378884
53,6.800286907342853e-05,0.0019472378564378884
54,6.800286907342853e-05,0.001973912347621969
55,7.286021686438771e-05,0.001973912347621969
56,7.286021686438771e-05,0.0020005868388060497
57,7.447933279470743e-05,0.0020005868388060497
58,7.447933279470743e-05,0.0020272613299901305
59,7.609844872502716e-05,0.0020272613299901305
60,7.609844872502716e-05,0.0020539358211742113
61,8.257491244630607e-05,0.0020539358211742113
62,8.257491244630607e-05,0.0021072848035423725
63,8.41940283766258e-05,0.0021072848035423725
64,8.41940283766258e-05,0.0021339592947264533
65,8.905137616758498e-05,0.0021339592947264533
66,8.905137616758498e-05,0.0021606337859105336
67,9.06704920979047e-05,0.0021606337859105336
68,9.06704920979047e-05,0.002213982768278695
69,9.876607174950333e-05,0.002213982768278695
70,9.876607174950333e-05,0.0022406572594627755
71,0.00010200430361014279,0.0022406572594627755
72,0.00010200430361014279,0.002320680733015018
