epoch,AUPRC,AUROC,loss,val_AUPRC,val_AUROC,val_loss
0,0.30815207958221436,0.57265305519104,0.015176462009549141,0.362876832485199,0.6029258966445923,0.013647726736962795
1,0.10000000149011612,0.10000000149011612,0.0075645362958312035,0.06666667014360428,0.06666667014360428,0.0034327544271945953
2,0.3543633818626404,0.6063051819801331,0.011105895973742008,0.37502872943878174,0.6060671210289001,0.012445654720067978
3,0.13333334028720856,0.13333334028720856,0.0064313835464417934,0.06666667014360428,0.06666667014360428,0.003967125900089741
4,0.38123074173927307,0.6122074127197266,0.010063063353300095,0.38438668847084045,0.608363151550293,0.012619629502296448
5,0.1237439289689064,0.12222221493721008,0.0394754633307457,0.06666667014360428,0.06666667014360428,0.0009021079167723656
6,0.3880537450313568,0.6141044497489929,0.009708885103464127,0.3804587423801422,0.6048044562339783,0.01270705834031105
7,0.13333334028720856,0.13333334028720856,0.00816973764449358,0.06666667014360428,0.06666667014360428,0.0012646021787077188
8,0.40958985686302185,0.6174885034561157,0.009096577763557434,0.38117149472236633,0.6066461801528931,0.011783800087869167
9,0.1666666716337204,0.1666666716337204,0.00285806180909276,0.06666667014360428,0.06666667014360428,0.003343104850500822
