epoch,AUPRC,AUROC,loss,val_AUPRC,val_AUROC,val_loss
0,0.5162257552146912,0.9044586420059204,0.012857782654464245,0.5027239918708801,0.8691504001617432,0.013467528857290745
1,0.38800227642059326,0.42483749985694885,0.013418389484286308,0.10000000149011612,0.10000000149011612,0.001744730630889535
2,0.5556290745735168,0.911804735660553,0.011668385937809944,0.506580650806427,0.8696529865264893,0.015063975006341934
3,0.2401925027370453,0.262592613697052,0.008407334797084332,0.10000000149011612,0.10000000149011612,0.002020833548158407
4,0.5705572962760925,0.9152469635009766,0.011203940957784653,0.5117804408073425,0.8713399171829224,0.013898791745305061
5,0.3616127073764801,0.39322325587272644,0.011570373550057411,0.10000000149011612,0.10000000149011612,0.0012207459658384323
6,0.5849311947822571,0.9167822599411011,0.010913020931184292,0.5061432123184204,0.8679935336112976,0.01501267310231924
7,0.4768950641155243,0.49824562668800354,0.010075477883219719,0.10000000149011612,0.10000000149011612,0.008573026396334171
8,0.5902989506721497,0.9144359230995178,0.010628202930092812,0.5047172904014587,0.8696489930152893,0.014710363000631332
9,0.29191824793815613,0.3297271132469177,0.007628902792930603,0.10000000149011612,0.10000000149011612,0.001833069371059537
