Epoch;st_petersburg;ptb_diag;chapman;ningbo;georgia;china;ptbxl
1;0.6775233795549823;0.6625197304774352;0.8784288539426276;0.8359819197970692;0.8104527671487016;0.9809079224479684;0.7433369926823228
2;0.6259271202837794;0.7200902934537246;0.8734194457967885;0.8226464494134272;0.8175270792667046;0.9798599697628748;0.7295690937376665
3;0.5569171235085456;0.7671888524924049;0.8960718183882846;0.8543497088950263;0.834700209972767;0.982574548966707;0.7671691750646993
4;0.4814575943244115;0.7154398411378333;0.9144773958415986;0.8658188600000534;0.8585632666244966;0.9822465059831884;0.8298743298753728
5;0.5359561431796195;0.6170165820872724;0.8963938866208694;0.8398083911952205;0.8283635670802484;0.9829750991080277;0.755148555750432
6;0.5975491776846178;0.6676454114971402;0.8936386742167725;0.8444032030232208;0.8350423958104898;0.9818816932331241;0.7574953612638478
7;0.45920670751370524;0.5720056348546309;0.8896472012730614;0.8368934165637817;0.8375748118289764;0.9810615398909812;0.7501538182268215
8;0.4785553047404063;0.6899981330300922;0.8868841309236906;0.8208410010469632;0.8184162395847806;0.9814200608872004;0.7479592173848926
9;0.49725894872621734;0.7315127547989613;0.8924203701282861;0.8468069263933274;0.8388863416036625;0.980906758158059;0.7448867496060296
10;0.5752982908739116;0.7394728355878409;0.8944409896091693;0.8403351004772451;0.8419406820099102;0.9803593870443782;0.7725845789165141
