epoch,AUPRC,AUROC,loss,val_AUPRC,val_AUROC,val_loss
0,0.4593845307826996,0.7789835333824158,0.021314289420843124,0.42229384183883667,0.733176589012146,0.026345428079366684
1,0.4492705166339874,0.5602055788040161,0.02685626596212387,0.32498252391815186,0.4641073942184448,0.026884539052844048
2,0.5350382924079895,0.8015370965003967,0.017310643568634987,0.42327043414115906,0.7311659455299377,0.02623218484222889
3,0.2624121308326721,0.28790849447250366,0.007928155362606049,0.36273136734962463,0.47496917843818665,0.025558006018400192
4,0.5655819177627563,0.8079598546028137,0.01628848910331726,0.42918092012405396,0.7349526286125183,0.02667374536395073
5,0.4629492461681366,0.51619553565979,0.022872038185596466,0.3920961022377014,0.4766845405101776,0.026305383071303368
6,0.593464195728302,0.8124526143074036,0.015108685940504074,0.4233628511428833,0.7327316403388977,0.028464224189519882
7,0.3589472472667694,0.4165608584880829,0.017978401854634285,0.37440526485443115,0.46947532892227173,0.02763224020600319
8,0.610163152217865,0.8143192529678345,0.014190785586833954,0.42029520869255066,0.7274373173713684,0.02912258915603161
9,0.4685036540031433,0.5144675970077515,0.020387079566717148,0.3792644143104553,0.47105953097343445,0.0273054800927639
