epoch,AUPRC,AUROC,loss,val_AUPRC,val_AUROC,val_loss
0,0.030636364594101906,0.13906972110271454,0.01181449368596077,0.02708154171705246,0.06151144579052925,0.04280632734298706
1,0.03652326017618179,0.04807691648602486,0.012335470877587795,0.0,0.0,0.008871226571500301
2,0.08782032132148743,0.15707488358020782,0.004965261090546846,0.04659726098179817,0.06199268251657486,0.01414570678025484
3,0.06579505652189255,0.0902232751250267,0.007508525159209967,0.0,0.0,0.0020960033871233463
4,0.10814296454191208,0.13015171885490417,0.0036244476214051247,0.0301433764398098,0.06206067278981209,0.010052151046693325
5,0.06362797319889069,0.0659722164273262,0.0024091063532978296,0.0,0.0,0.0029103457927703857
6,0.12170900404453278,0.164549320936203,0.0028011908289045095,0.02870101109147072,0.06231365725398064,0.010138330981135368
7,0.06666667014360428,0.06666667014360428,0.0018336104694753885,0.0,0.0,0.0028897998854517937
8,0.1570124477148056,0.16575369238853455,0.0018928059143945575,0.031215360388159752,0.06753400713205338,0.008581827394664288
9,0.09504406899213791,0.097601018846035,0.0037009234074503183,0.0,0.0,0.0025832043029367924
10,0.16140376031398773,0.16600756347179413,0.0018033819505944848,0.028212904930114746,0.06793646514415741,0.009171473793685436
11,0.10000000149011612,0.09999999403953552,0.0013577330391854048,0.0,0.0,0.002374180592596531
12,0.1610793173313141,0.1659587174654007,0.0017070458270609379,0.032154154032468796,0.06928662210702896,0.007523057516664267
13,0.06545118987560272,0.06637680530548096,0.0011466183932498097,0.0,0.0,0.002672945847734809
14,0.13062523305416107,0.13287240266799927,0.0014415305340662599,0.043377820402383804,0.06878967583179474,0.008100762963294983
15,0.10000000149011612,0.10000000149011612,0.0019000896718353033,0.0,0.0,0.0036276141181588173
16,0.1624523103237152,0.16602392494678497,0.0015978784067556262,0.040576692670583725,0.0689290314912796,0.00856818351894617
17,0.06666667014360428,0.06666665524244308,0.0005967105971649289,0.0,0.0,0.0035536368377506733
