,fpr,tpr
0,0.0,0.0
1,0.0,0.05263157894736842
2,0.0,0.3157894736842105
3,0.0003224766204450177,0.3157894736842105
4,0.0003224766204450177,0.3684210526315789
5,0.0006449532408900354,0.3684210526315789
6,0.0006449532408900354,0.42105263157894735
7,0.0019348597226701064,0.42105263157894735
8,0.0019348597226701064,0.47368421052631576
9,0.002257336343115124,0.47368421052631576
10,0.002257336343115124,0.5263157894736842
11,0.006772009029345372,0.5263157894736842
12,0.006772009029345372,0.5789473684210527
13,0.007416962270235408,0.5789473684210527
14,0.007416962270235408,0.7368421052631579
15,0.020638503708481134,0.7368421052631579
16,0.020638503708481134,0.7894736842105263
17,0.022250886810706225,0.7894736842105263
18,0.022250886810706225,0.8421052631578947
19,0.11060948081264109,0.8421052631578947
20,0.11060948081264109,0.8947368421052632
21,0.30441792970009673,0.8947368421052632
22,0.30506288294098677,0.8947368421052632
23,0.527249274427604,0.8947368421052632
24,0.527249274427604,0.9473684210526315
25,0.5556272170267655,0.9473684210526315
26,0.5556272170267655,1.0
27,1.0,1.0
