epoch,AUPRC,AUROC,loss,val_AUPRC,val_AUROC,val_loss
0,0.5512886047363281,0.9083884954452515,0.011985640972852707,0.5105279684066772,0.8716934323310852,0.013677004724740982
1,0.3266316056251526,0.3297777771949768,0.008964156731963158,0.10000000149011612,0.10000000149011612,0.0029042025562375784
2,0.5900363326072693,0.914752721786499,0.010885211639106274,0.5101677179336548,0.8711305260658264,0.014065228402614594
3,0.44356173276901245,0.4649122953414917,0.00869542546570301,0.10000000149011612,0.10000000149011612,0.0010887288954108953
4,0.599658191204071,0.9160967469215393,0.010537249967455864,0.5135924816131592,0.8722251057624817,0.013846010901033878
5,0.29069963097572327,0.31959962844848633,0.014862066134810448,0.10000000149011612,0.10000000149011612,0.0017820391803979874
6,0.6196728348731995,0.9171239137649536,0.010182583704590797,0.5164989829063416,0.8705758452415466,0.014759836718440056
7,0.4030396044254303,0.4267961382865906,0.010970305651426315,0.10000000149011612,0.10000000149011612,0.0024648597463965416
8,0.6264877319335938,0.9178647994995117,0.009852171875536442,0.5116601586341858,0.8690032958984375,0.015221241861581802
9,0.4038718640804291,0.4502235949039459,0.010864125564694405,0.10000000149011612,0.10000000149011612,0.0021646427921950817
