,fpr,tpr
0,0.0,0.0
1,0.002257336343115124,0.0
2,0.01580135440180587,0.0
3,0.01580135440180587,0.14285714285714285
4,0.024830699774266364,0.14285714285714285
5,0.024830699774266364,0.2857142857142857
6,0.04966139954853273,0.2857142857142857
7,0.04966139954853273,0.42857142857142855
8,0.3544018058690745,0.42857142857142855
9,0.3544018058690745,0.5714285714285714
10,0.38826185101580135,0.5714285714285714
11,0.38826185101580135,0.7142857142857143
12,0.510158013544018,0.7142857142857143
13,0.510158013544018,0.8571428571428571
14,0.8487584650112867,0.8571428571428571
15,0.8487584650112867,1.0
16,1.0,1.0
