epoch,AUPRC,AUROC,loss,val_AUPRC,val_AUROC,val_loss
0,0.42961323261260986,0.7656281590461731,0.022799916565418243,0.4172701835632324,0.7339200377464294,0.02591324783861637
1,0.37583211064338684,0.4707788825035095,0.019185131415724754,0.32216840982437134,0.4391382336616516,0.02606888674199581
2,0.5097960829734802,0.7973738312721252,0.018560169264674187,0.40791910886764526,0.7355965971946716,0.02630605548620224
3,0.3153240382671356,0.38376903533935547,0.018515978008508682,0.375131219625473,0.4552416503429413,0.02984318882226944
4,0.5378910899162292,0.8042654395103455,0.017391879111528397,0.4012620151042938,0.7366273999214172,0.026480063796043396
5,0.4297305941581726,0.48655420541763306,0.016084883362054825,0.35759231448173523,0.4596012234687805,0.027496132999658585
6,0.5680913329124451,0.8089731931686401,0.016118891537189484,0.413693368434906,0.7315822839736938,0.028641320765018463
7,0.33945098519325256,0.38698258996009827,0.013049948029220104,0.3741774260997772,0.4461188316345215,0.02553342841565609
8,0.5971539616584778,0.8100137114524841,0.01536817941814661,0.41781628131866455,0.7358834147453308,0.028026269748806953
9,0.26845139265060425,0.31427013874053955,0.016555171459913254,0.3804241716861725,0.4682277739048004,0.026157990097999573
