epoch,AUPRC,AUROC,loss,val_AUPRC,val_AUROC,val_loss
0,0.8324356079101562,0.9769250750541687,0.018737416714429855,0.8441937565803528,0.980945885181427,0.018111836165189743
1,0.8605082631111145,0.9837599992752075,0.016413411125540733,0.8475425243377686,0.9816437363624573,0.017495641484856606
2,0.8710495233535767,0.9856567978858948,0.015600000508129597,0.8606223464012146,0.9833569526672363,0.017128314822912216
3,0.8790242075920105,0.9871218800544739,0.014942720532417297,0.8645442724227905,0.9842749238014221,0.016440169885754585
4,0.8855223655700684,0.9881942272186279,0.014416638761758804,0.8556236624717712,0.9834957122802734,0.017068572342395782
5,0.8911429643630981,0.9890127182006836,0.013977318070828915,0.8749396204948425,0.9864099621772766,0.015490703284740448
6,0.8958590030670166,0.9898061156272888,0.01358757633715868,0.8766309022903442,0.9855480790138245,0.01563725247979164
7,0.9007710814476013,0.990471363067627,0.013177843764424324,0.8693700432777405,0.9858831167221069,0.015748875215649605
8,0.9040324687957764,0.9909597039222717,0.012918297201395035,0.885009765625,0.9874891042709351,0.014810738153755665
9,0.9083935022354126,0.9916391372680664,0.01251384150236845,0.8798604011535645,0.9867247343063354,0.015190621837973595
10,0.9124895334243774,0.9920685887336731,0.012216953560709953,0.8759863972663879,0.9862406253814697,0.015932902693748474
11,0.9140494465827942,0.9924231767654419,0.012018736451864243,0.8787589073181152,0.9860733151435852,0.015948237851262093
12,0.9177700281143188,0.9928182363510132,0.01172636728733778,0.8800010681152344,0.9867583513259888,0.015350469388067722
13,0.920748233795166,0.9932047724723816,0.011448324657976627,0.8501871228218079,0.9835932850837708,0.017368482425808907
