epoch,AUPRC,AUROC,loss,val_AUPRC,val_AUROC,val_loss
0,0.009365330450236797,0.07592833787202835,0.19846074283123016,0.005480686202645302,0.04284984990954399,6.549595355987549
1,0.009242621250450611,0.015594542026519775,0.07124333083629608,0.0,0.0,3.8335185050964355
2,0.009592019952833652,0.10310054570436478,0.03933413699269295,0.008701154962182045,0.044376254081726074,2.2458231449127197
3,0.01686534844338894,0.042388513684272766,0.023683365434408188,0.0,0.0,1.114804744720459
4,0.012963681481778622,0.10548572242259979,0.01720285974442959,0.006804575212299824,0.04419783875346184,0.7043929100036621
5,0.01768743433058262,0.04840042442083359,0.011426886543631554,0.0,0.0,0.3520289957523346
6,0.019657330587506294,0.0969843715429306,0.01063495222479105,0.007971596904098988,0.04628618434071541,0.23745299875736237
7,0.06274215877056122,0.10643614828586578,0.012036825530230999,0.0,0.0,0.09402348101139069
8,0.02375640720129013,0.13028496503829956,0.009157679043710232,0.007213610224425793,0.04122840613126755,0.10470440983772278
9,0.050065118819475174,0.05972222611308098,0.00611924659460783,0.0,0.0,0.041399817913770676
10,0.03815624490380287,0.14496523141860962,0.007684910204261541,0.007026778534054756,0.04169963300228119,0.053398940712213516
11,0.04059187322854996,0.0852564126253128,0.008016003295779228,0.0,0.0,0.021591898053884506
