fpr,tpr
0.0,0.0
0.002257336343115124,0.0
0.26410835214446954,0.0
0.26410835214446954,0.14285714285714285
0.435665914221219,0.14285714285714285
0.435665914221219,0.2857142857142857
0.5282167042889391,0.2857142857142857
0.5282167042889391,0.42857142857142855
0.6862302483069977,0.42857142857142855
0.6862302483069977,0.5714285714285714
0.7336343115124153,0.5714285714285714
0.7336343115124153,0.7142857142857143
0.7516930022573364,0.7142857142857143
0.7516930022573364,0.8571428571428571
0.8306997742663657,0.8571428571428571
0.8306997742663657,1.0
1.0,1.0
